title,url,job_description,company_name,location,is_remote,posting_date
Senior FinTech Engineer,https://boards.greenhouse.io/mobilecoin/jobs/4798583004?utm_source=Electric+Capital+job+board&utm_medium=getro.com&gh_src=Electric+Capital+job+board,"




Job Application for Senior FinTech Engineer at MobileCoin




















      Apply Now
    
Senior FinTech Engineer

    at MobileCoin
  
(View all jobs)

      San Francisco or Remote (US only)
    


Company: MobileCoin (www.mobilecoin.com)
MobileCoin is building the future of private, secure, and usable digital payments. We want to make a privacy-focused cryptocurrency you can use everyday to pay for anything.  
We are passionate about implementing scientific and mathematical methods to explore, isolate, and solve problems in the global financial markets while respecting user-privacy. We believe that career fulfillment and enterprise success converge when smart, hard-working, and intellectually curious people come together with a shared goal of innovation, and the pursuit of excellence.
Your Role:
We are looking for a Senior FinTech Engineer to join our team! As a FinTech Eengineer, you will work with our product and platform teams to design, implement and ensure our systems are meeting the highest standards for financial technologies. This is a rare opportunity for a proven technologist and FinTech professional to establish best practices within an organization building a global payments ecosystem. Your work will deliver immediate, measurable and long-lasting impact. You will gain exposure to many aspects of developing and deploying financial primitives at all layers of the stack and work alongside individuals with proven experience building some of the most innovative blockchain technologies in the world.
Responsibilities:

Implement solutions to support payments use cases for peer-to-peer, consumers, merchants, and beyond
Contribute to defining and driving the financial services roadmap
Perform architecture reviews to steer technical designs in the right direction
Collaborate with the rest of the engineering team to ensure priorities are aligned across the org
Coordinate with 3rd party integrations to support ramps and banking relationships
Produce documentation of our software for key external integrations and compliance
Review 3rd party APIs to help make decisions about key integrations

Required Skills, Qualifications and Experience:

5+ years of software engineering experience
3+ years working in FinTech or related industries
Excellent understanding of software development best practices
Experience in architecting and building solutions on modern tech stacks across multiple platforms (web, mobile, backend)
Experience partnering with cross-functional engineering and product teams
Ability to take on complex and ambiguous problems and move forward in the face of uncertainty
Sound communication and relationship building skills

Preferred Skills, Qualifications and Experience:

Experience with blockchains, cryptocurrency or decentralized systems
Experience with Java, Kotlin, Rust, C/C++, and/or Go

Benefits:

Competitive Salary (based on experience)
Equity
Annual performance bonus
Blue-chip Healthcare Benefits 
Monthly Wellness, Food, Education & Tech Stipend
401k Matching
Unlimited PTO
Unique opportunity to be an early part of a fast-growing SIlicon Valley “unicorn”

Location: Open to remote candidates in the US.








Apply for this Job

* Required
            



First Name *



Last Name *



Email *



Phone












        Resume/CV
      



    Drop files here
  

  
    



Attach
Dropbox
Google Drive
or enter manually
 


    (File types: pdf, doc, docx, txt, rtf)
  

















          Cover Letter
        



    Drop files here
  

  
    



Attach
Dropbox
Google Drive
or enter manually
 


    (File types: pdf, doc, docx, txt, rtf)
  

















LinkedIn Profile
    





Website
    











 




Powered by 

 
      Read our Privacy Policy





 











",MobileCoin,"United States; San Francisco, CA, USA; ·",Yes,Today
Product Marketing Manager,https://boards.greenhouse.io/mobilecoin/jobs/4797127004?utm_source=Electric+Capital+job+board&utm_medium=getro.com&gh_src=Electric+Capital+job+board,"




Job Application for Product Marketing Manager at MobileCoin




















      Apply Now
    
Product Marketing Manager

    at MobileCoin
  
(View all jobs)

      San Francisco or Remote (US only)
    


Moby is a new payment app, brought to you by MobileCoin, designed to usher in the next era of commerce. Our team redesigned payments from the ground up to support novel experiences that traditional finance wasn’t built for like: 

Creator economy: Uncut tips and subscriptions directly from a global fanbase
Direct-to-consumer: Instant settlement without intermediaries
Merchants: Avoid swipe fees and chargebacks
Peer-to-Peer: Pay friends away from prying eyes with digital cash
Last mile banking: Close the gap for the unbanked and underbanked

We’re looking for someone to help get Moby into the hands of our first million customers by driving our creator marketing and user-generated content strategy across emerging marketing channels. You’ll work closely with creators to refine our customer acquisition strategy throughout different stages of Moby’s product lifecycle; from product-market-fit to growth and retention. You’ll share feedback from creators to help us better productize Moby. You’ll get the opportunity to test and tweak Moby’s brand persona across different channels. You’ll help define and refine our market as we test with different target audiences.  
This role requires someone who understands the power of user-generated content in boosting brand recognition and driving customer acquisition. This is a creative, strategic position; you will be empowered to foster relationships with creators that align with Moby’s values and objectives. 
About you: 

You’re a social listener obsessed with new trends, subcultures, internet culture, memes, and viral videos. You’re comfortable using tools like Trendpop and Tubular to drive content discovery 
You’re a self-starter that can drive your marketing plan from ideation to execution; rapidly iterating as you learn about what works and what doesn’t 
You’re excited to source creators with aligned values that will drive authentic experiences for our customers
You cringe when brands sell to their audiences using business jargon; instead, you focus on captivating, creative, and entertaining storytelling that creates connection
You’re outcomes-driven and aren’t afraid to experiment with new tactics to drive results. You relentlessly pursue growth by creating a hypothesis-driven roadmap to acquire and retain new customers. 
You can create memorable experiences for Moby’s customers through experiential marketing; bridging the digital with IRL events
You’ll continuously test and refine our marketing message matrix across multiple platforms so that we’re delivering the right message to the right audience at the right time
You’ll drive quality growth by creating experiences that turn customers into advocates. We prefer flywheels over funnels so you’ll be responsible for acquiring customers who bring in more customers

Minimum Requirements: 

3-5 years of experience in social media marketing
Self-starter who can hit the ground running and works well with others
Experience in a Gen Z-focused, B2C startup 
Desire to grow into a lead role; eventually building out a world-class Marketing team

 Benefits:

Competitive Salary (based on experience)
Equity
Annual bonus
Blue-chip Healthcare Benefits 
Monthly Wellness, Food, Education & Tech Stipend
401k Matching
Unlimited PTO
Unique opportunity to be an early part of a fast-growing SIlicon Valley “unicorn”

Location: Open to remote candidates in the US








Apply for this Job

* Required
            



First Name *



Last Name *



Email *



Phone












        Resume/CV
      



    Drop files here
  

  
    



Attach
Dropbox
Google Drive
or enter manually
 


    (File types: pdf, doc, docx, txt, rtf)
  

















          Cover Letter
        



    Drop files here
  

  
    



Attach
Dropbox
Google Drive
or enter manually
 


    (File types: pdf, doc, docx, txt, rtf)
  

















LinkedIn Profile
    





Website
    











 




Powered by 

 
      Read our Privacy Policy





 











",MobileCoin,"United States; San Francisco, CA, USA; ·",Yes,Today
Sales Representative,https://jobs.lever.co/aurora-dev/313263af-ca9f-4035-ac1c-55b42c172c51?utm_source=Electric+Capital+job+board&utm_medium=getro.com&gh_src=Electric+Capital+job+board,"Aurora Labs - Sales RepresentativeSales RepresentativeRemote /Operations – Marketing Team /Full Time Contract/ RemoteApply for this jobAbout usWe at Aurora Labs are looking for an experienced, ambitious, responsible, goal oriented B2B sales/BD representative to work on attracting new clients and business opportunities. This is a full-time position that can be done remotely anywhere in the world.Aurora builds an Ethereum-compatible network with increased scaling and lower transaction costs.Aurora Labs labs have created the Aurora Ecosystem which mainly consists of two components: Rainbow Bridge and Aurora Engine. Rainbow Bridge is a fully trustless and decentralized bridge that interconnects Ethereum and NEAR ecosystems. Aurora Engine is an EVM built on the NEAR Protocol, delivering a turn-key solution for developers to operate their apps on an Ethereum-compatible, high-throughput, scalable and future-safe platform, with low transaction costs for their users.  Our Values - Execute extreme ownership.- Strive for excellence.- Embrace authenticity.- Promote merit.- Get shit done.About the PositionThis is a Business Development and B2B sales position. Your main responsibilities will be researching the target industry to discover prospecting opportunities. Planning and executing outreach in the form of emails, calls and LinkedIn to attract new leads. Reaching out to existing prospects.Requirements- 5+ years of sales or BD experience.- 3+ years of B2B sales experience.- Ability to work in a fast paced environment.Responsibilities- B2B sales.- Prospecting.- Lead Qualification.- Contract Negotiation.- Referral Selling.- Customer Success.Join our dedicated team of blockchain industry professionals.Please apply today — we’re standing by for your resume and link to your portfolio!In applying at this job, I confirm and acknowledge that I read and understood the Privacy Notice published at https://auroralabs.dev/privacy.Apply for this jobAurora Labs Home PageJobs powered by ",Aurora,·,Yes,2 days
Events Lead,https://boards.eu.greenhouse.io/nearfoundation/jobs/4126499101?utm_source=Electric+Capital+job+board&utm_medium=getro.com&gh_src=Electric+Capital+job+board,"




Job Application for Events Lead at NEAR Foundation






















      Apply Now
    
Events Lead

    at NEAR Foundation
  
(View all jobs)

      Remote - Global
    


Near Foundation is looking for an Events Lead. This person will successfully plan NEARCON, manage the SGP event relationship in partnership with BD and Funding, and take the lead on event creative briefs and strategy. This person needs to be extremely professional with stellar communication and collaboration skills.
 
You will:

Successfully plan NEARCON - 8k - 10k attendees at NEARCON 2023, NEARCON NPS score of 80+
Coordinate across multiple teams ensuring SGP events are well attended
Build effective event strategy for the second half of 2023 events
Cross-collaborate with Marketing, other NF teams, Ecosystem projects, and external partners to ensure impeccable experiences and outcomes at our events

You'll have: 

10+ years of experience with functional events management, sponsorships, creative direction, and logistics
8+ years of experience with partnering in a capacity that collaborates with multiple stakeholders, manages cross-functional workstreams, and can solve business needs with activation ideas
8+ years of experience with brand and marketing in the business-to-business (B2B) and/or business to consumer (B2C) industries
5+ years of experience in people leadership, including coaching and mentoring teams
Experience with leading global, enterprise-wide events at scale
Experience in bringing large-scale, global events to life, balancing brand and business objectives
Ability to understand the market, develop unique insights, and translate them into detailed and concrete activation strategies
Demonstrated solid leadership and the ability to self-organize / work independently.
Ability to Travel for events (domestic and international)

 
We value

ECOSYSTEM-FIRST: always put the health and success of the ecosystem above any individual's interest
OPENNESS: operate transparently and consistently share knowledge to build open communities
PRAGMATISM OVER PERFECTION: find the right solution not the ideal solution and beat dogmatism by openly considering all ideas
MAKE IT FEEL SIMPLE: strive to make the complex feel simple so the technology is accessible to all
GROW CONSTANTLY: learn, improve and fail productively so the project and community are always becoming more effective

NEAR is an affirmative action and equal opportunity employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, disability, age, sexual orientation, gender identity, national origin, veteran status, or genetic information. NEAR is committed to providing access, equal opportunity and reasonable accommodation for individuals with disabilities in employment, its services, programs, and activities. To request reasonable accommodation, please let your recruiter know during the interview process. 








Apply for this Job

* Required
            



First Name *



Last Name *



Email *



Phone












        Resume/CV
      



    Drop files here
  

  
    



Attach
Dropbox
Google Drive
or enter manually
 


    (File types: pdf, doc, docx, txt, rtf)
  

















          Cover Letter
        



    Drop files here
  

  
    



Attach
Dropbox
Google Drive
or enter manually
 


    (File types: pdf, doc, docx, txt, rtf)
  

















LinkedIn Profile
    





Website
    





Please list the countries in which you are you legally authorized to work. *






Will you now or in the future require visa sponsorship for employment? *



--
Yes
No


If you answered yes, please provide more information. *







Please provide your current location:  *












 




Powered by 

 
      Read our Privacy Policy





 











",NEAR Foundation,·,Yes,2 days
"Software Engineering Manager, Solutions Engineering (Japan)",https://jobs.ashbyhq.com/mystenlabs/e37d6bc0-4b2b-4dc5-94a1-4d4f81465e4f?utm_source=Electric+Capital+job+board&utm_medium=getro.com&gh_src=Electric+Capital+job+board,"






Software Engineering Manager, Solutions Engineering (Japan) @ Mysten Labs







 








      You need to enable JavaScript to run this app.
    






 
 
",Mysten Labs,Japan; ·,Yes,3 days
Design Engineer,https://angel.co/company/layer3-6/jobs/2392966-design-engineer?utm_source=Electric+Capital+job+board&utm_medium=getro.com&gh_src=Electric+Capital+job+board,"angel.coPlease enable JS and disable any ad blocker
",Layer3,United States; ·,Yes,4 days
Head of Ecosystem Acceleration,https://boards.eu.greenhouse.io/nearfoundation/jobs/4124801101?utm_source=Electric+Capital+job+board&utm_medium=getro.com&gh_src=Electric+Capital+job+board,"




Job Application for Head of Ecosystem Acceleration at NEAR Foundation






















      Apply Now
    
Head of Ecosystem Acceleration

    at NEAR Foundation
  
(View all jobs)

      Remote - Global
    


NEAR Foundation is hiring for our Head of Ecosystem Acceleration
You will:

Co-create and refine a strategy for identifying and accelerating new teams entering into the ecosystem (build a “talent scout” strategy)
Co-create and refine a strategy for supporting new and current ecosystem teams
Run value added services (coordinate subject matter experts to act as mentors / advisors, create / source / review learning content for cohort-based learning experiences etc.)
Coordinate access to VCs / investment opportunities in collaboration with the Head of Investor Relations
Ensure all teams are well-embedded in the NEAR community 
Establish and manage a process of connecting new start-ups wanting to build on NEAR with opportunities for early stage capital
Manage, coach and support a team responsible for managing partnerships, technical review of applications, and prospect evaluation.

You have:

Investment/VC experience
Fluency with Web3 concepts, philosophy and technology.
Experience with running highly effective support programs for entrepreneurs / founding teams
Experience with building and leading highly effective teams.
Excellent communication and collaboration skills.

We value

ECOSYSTEM-FIRST: always put the health and success of the ecosystem above any individual's interest
OPENNESS: operate transparently and consistently share knowledge to build open communities
PRAGMATISM OVER PERFECTION: find the right solution not the ideal solution and beat dogmatism by openly considering all ideas
MAKE IT FEEL SIMPLE: strive to make the complex feel simple so the technology is accessible to all
GROW CONSTANTLY: learn, improve and fail productively so the project and community are always becoming more effective

NEAR is an affirmative action and equal opportunity employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, disability, age, sexual orientation, gender identity, national origin, veteran status, or genetic information. NEAR is committed to providing access, equal opportunity and reasonable accommodation for individuals with disabilities in employment, its services, programs, and activities. To request reasonable accommodation, please let your recruiter know during the interview process. 








Apply for this Job

* Required
            



First Name *



Last Name *



Email *



Phone












        Resume/CV
      



    Drop files here
  

  
    



Attach
Dropbox
Google Drive
or enter manually
 


    (File types: pdf, doc, docx, txt, rtf)
  

















          Cover Letter
        



    Drop files here
  

  
    



Attach
Dropbox
Google Drive
or enter manually
 


    (File types: pdf, doc, docx, txt, rtf)
  

















LinkedIn Profile
    





Website
    





Please list the countries in which you are you legally authorized to work. *






Will you now or in the future require visa sponsorship for employment? *



--
Yes
No


If you answered yes, please provide more information. *







Please provide your current location:  *












 




Powered by 

 
      Read our Privacy Policy





 











",NEAR Foundation,·,Yes,4 days
🤝Partnerships Lead,https://paperxyz.notion.site/Partnerships-Lead-f1eef0a1f1f34ba1920563679395c2b7?utm_source=Electric+Capital+job+board&utm_medium=getro.com&gh_src=Electric+Capital+job+board,"Notion – The all-in-one workspace for your notes, tasks, wikis, and databases.",Paper,None,No,9 days
"Software Engineer, DevX",https://jobs.ashbyhq.com/mystenlabs/a2f39727-6e7f-46a9-b456-4ad271853ac7?utm_source=Electric+Capital+job+board&utm_medium=getro.com&gh_src=Electric+Capital+job+board,"






Software Engineer, DevX @ Mysten Labs







 








      You need to enable JavaScript to run this app.
    






 
 
",Mysten Labs,"; Washington, DC, USA·",Yes,10 days
SecOps Engineer,https://coinflex.com/careers/secops-engineer?utm_source=Electric+Capital+job+board&utm_medium=getro.com&gh_src=Electric+Capital+job+board,"SecOps EngineerCoinFLEX CareersSecOps EngineerHomeCareers SecOps EngineerMarch 04, 2022 SecurityDevOpsLinkedIn   Twitter   Facebook  Apply For This Job







We are looking for a SecOps Engineer to join the team which is working on the ongoing security of the CoinFLEX cryptocurrency futures exchange platform.



Job Description
You will be a key member of a modest security team distributed across multiple time zones. You should have a passion for Cloud security, cybersecurity, technology and automation. A resilient approach to complex problems, an innovative growth mindset and a profound hunger to learn is essential. You will be working alongside seasoned professionals in a high-intensity team environment.
The position will focus mainly on securing CoinFLEX public facing systems and security administration of our cloud based applications. You will have responsibility for implementing solutions to ensure the security of our applications through implementing security tools, static and dynamic security testing and vulnerability scanning. You will additionally take the lead in configuration and management of multiple WAFs using terraform.
Responsibilities

Day-to-day security operations
Security dashboard reviews & incident investigations.
Establishing new or improved security operational practices
Ensure vulnerability assessments are carried out on key resources and to work with other teams to remediate them.
Work with the Platform and Development team to ensure security is built into the platform, solution and network architecture and non-functional security requirements are delivered.
Participate in security audits and reviews and work on any actions assigned to you.
Help maintain control over logical and physical access – identify opportunities where we can make improvements.
Using scripting or tools and increasing automation
Integration with DevOps
Provide advice or assistance for colleagues with security related issues.
Ensure critical or high severity events and incidents are not allowed to propagate further and major incident handling is initiated.

Essential skills and experience required

Experience working within a DevSecOps team
Knowledge of DAST and SAST configuration
Experience of NIDS and HIDS configuration
WAF configuration and management
Infrastructure as code tools such as Terraform and Ansible 
Proven experience in IT/Cyber Security
Good knowledge of cybersecurity and hacking methodologies
IT Security qualifications or willing to work towards achieving these
Understanding and experience of cloud server architectures
Experience or qualifications in AWS
Experience of modern software development and automation; Agile, Dev-ops CI/CD
Proficiency in English 
Intrinsic interest and experience otherwise with working with development and scripting languages as Python, JavaScript, Java, C++, Bash, Ruby
Containerization. E. G. Docker and Kubernetes
Linux
Development experience
Log analysis

Desirable skills

Excellent teamwork and communication skills used with a remote global team
Drive to learn new technologies fast and work with the team and independently
Experience in team management and coordination to maximise efficiency
Knowledge of continuous integration and delivery
Very high security awareness and implementation skills 
Great Linux/Unix Administration skills
Good amount of experience with software such as Git, Docker, Kubernetes
Good knowledge of AWS, Google Cloud, Microsoft Azure, Alibaba or one of the other IaaS providers and using Terraform, Ansible or other orchestration tools
Experience in designing and implementing ISO 27701 framework 

What you’ll get in return

Excellent compensation
High value perks based on performance
Cryptocurrency and financial services experience
Training as required
An environment where learning and development is encouraged
Autonomy to experiment and build new cybersecurity solutions

CoinFLEX people  
From tough but determined and successful beginnings we are forging strong company values for the business, we are building a team of smart, positive, collaborative, productive, ambitious, entrepreneurial, energetic and success oriented people.
This is an opportunity to make a profound difference to an emerging market sector, for example, if you work in the relatively mature equities or fiat FX markets, any work you do will very likely make an intangible difference to the markets or market infrastructure when compared with the gains which are to be made in the relatively infant cryptocurrency market infrastructure
We are doing what we consider to be ground breaking and important work, however we want to have fun along the way so we have an informal yet professional atmosphere where people are encouraged to speak up. We have weekly company wide stand up meetings to aid communication and the overall cohesive growth of the already globally distributed business across Europe and Asia.
We also offer flexible working hours and working from home as necessary.
Apply For This JobAll JobsCoin Futures and Lending ExchangeOverviewAbout CoinFLEXBlogCareersEmail UsContact UsPoliciesTerms Of ServiceflexAssets TermsAffiliate TermsCookies PolicyPrivacy PolicyRisk PolicyService AreasReferencesFeesSpecificationsSecuritySupport CenterAnalyticsProgramsAffiliateBug Bounty ProgramAll Rights Reserved © 2023
",CoinFLEX,None,No,10 days
