Opportunity Title,Opportunity Description,Application Link,Source,Sponsor Status,Name,Last Modified,Created time,Active,sponsorName,sponsorUrl,sponsorIndustry,sponsorBio,sponsorSite,skills,type,category,featured,private,job_description,Location,Deadline,Job Type,Min Salary,Max Salary,Estimated Time to Complete,Token Amount,Token Name,1st Prize,2nd Prize,3rd Prize,Removed Sponsor?,Closed Time Stamp
Senior Mobile UX/UI Designer Web3 Wallet (Remote),"Aldrin’s mission is to simplify DeFi and create powerful tools to help all traders succeed, leading to more equality.
",https://apply.workable.com/aldrin/j/3CF0FA2DC4,Getro,Unassigned,Aldrin - Senior Mobile UX/UI Designer Web3 Wallet (Remote),2023-01-07T07:51:23.000Z,2022-10-21T18:30:22.000Z,Yes,Aldrin,https://v5.airtableusercontent.com/v1/15/15/1676152800000/oHlKAOfNhX_Py6u-xqSJ2w/4tbdR2UI6SWIByOiN8QyliBK3OfFyCkDlDDtNkJFvhAv7XstQL_EpeqXovTG46hsC3sgsN3zqCrkK5xUi7sk7yHAupq805y69hi7FDnvrYU/xWsBlLe_aSU2RhbMlMV3X3tpdiu6w6m9Y0olDZartqw,DeFi,"Aldrin’s mission is to simplify DeFi and create powerful tools to help all traders succeed, leading to more equality.",https://aldrin.com/,['Design'],Jobs,Jobs,False,False,"{""error"":""rate_limit"",""message"":""Too many requests. Please contact us at support@workable.com to be given access to our jobs XML feed.""}",,,,,,,,,,,,,
Senior Web Designer,"Oracle network for powering trust-minimized applications across Web2 and Web3
",https://jobs.lever.co/chainlink/489def10-60ff-4e4d-9d90-b3cdd7d11a37,Getro,Unassigned,Chainlink - Senior Web Designer,2023-01-07T07:51:23.000Z,2022-11-03T13:30:25.000Z,Yes,Chainlink,https://v5.airtableusercontent.com/v1/15/15/1676152800000/I9rNgYVqQ8h62LkU0VTvvA/RTrtcVJafHBehhFIyNz7E6hEXRIEk9KXW8OKFwqh2awggjBfRB8923LTPXNfD4zSnQO-9kfQxZMV6tz_l-QRrgPNihZZ_2IFQx3LMAvThQE/uLh5GjaaRsMv3b6y44lQndlZaAx9V6I8bFovIhS823U,Infrastructure,Oracle network for powering trust-minimized applications across Web2 and Web3,https://chain.link/,['Design'],Jobs,Jobs,False,False,"Chainlink Labs - Web Presence Design LeadWeb Presence Design LeadUnited States / Remote /Design /Remote - Full-time/ RemoteApply for this jobAt Chainlink, we put our users first, focusing on consistently bringing innovative, world-changing products to market to serve millions of people every day. We're designing tools and services that enable our users to build, run, scale, and integrate decentralized apps (DApps) in a trust-minimized world. That's where you come in: we're looking for a Web Presence Design Lead for the small but mighty Web Presence team. We design and build the first impression of Chainlink and obsess over every pixel because we intuitively understand our role in building trust with our customers. Your ImpactEstablish and lead the Web Presence Design teamPartner with the Web Presence product owner to influence strategic decisions across all our digital properties, like chain.link, product pages, Chainlink Docs, our blog, and moreCraft novel and delightful experiences, and mentor individual contributors to put their creativity at service of world-class user experiencesPartner with our Marketing and Product teams to define information architecture and tell the right stories, while driving prioritization conversations  Help the team to synthesize broadly scoped loose concepts into defined, tactical deliverablesCollaborate closely with Product and Brand designers, marketers, and product owners to shape the evolution of Chainlink’s Design’s footprintBe a collaborative and trusted Design partner within Chainlink LabsRequirementsA passion for the web as a storytelling medium, demonstrable through a portfolio of design systems, engaging microsites, Figma libraries, digital experiments, CSS art, or anything else—show us what you’ve got!7+ years of relevant web design system experience at a tech-forward, product-driven company.2+ years of experience in a player-coach role.Fundamental understanding of the formal elements of design–not just limited to the web– including typography, layout, balance, rhythm, and proportion.A systems perspective and an ability to extrapolate and extend shared patterns and behaviors.Experience applying those systems to design-system-driven digital properties—and know how to balance maintainability with adaptability.Obsessively focused on pushing your work until every detail is covered.An ability to reduce complex problems into stories delivered through layout and interaction, and the skills needed to explain your work, process, and decisions to cross-functional stakeholders.Desired Qualifications Experience working on a remote, cross-functional design team.Player-coach experience.Blockchain interest or experience (bonus if you are already familiar with Chainlink)Figma, Webflow, and experience with Zapier and Airtable are a big plus. Additional web development experience is also great.Our PrinciplesAt Chainlink Labs, we’re committed to the key operating principles of ownership, focus, and open dialogue. We practice complete ownership, where everyone goes the extra mile to own outcomes into success. We understand that unflinching focus is a superpower and is how we channel our activity into technological achievements for the benefit of our entire ecosystem. We embrace open dialogue and critical feedback to arrive at an accurate and truthful picture of reality that promotes both personal and organizational growth.About Chainlink LabsChainlink is the industry standard oracle network for connecting smart contracts to the real world. With Chainlink, developers can build hybrid smart contracts that combine on-chain code with an extensive collection of secure off-chain services powered by Decentralized Oracle Networks. Managed by a global, decentralized community of hundreds of thousands of people, Chainlink is introducing a fairer model for contracts. Its network currently secures billions of dollars in value for smart contracts across the decentralized finance (DeFi), insurance, and gaming ecosystems, among others. The full vision of the Chainlink Network can be found in the Chainlink 2.0 whitepaper. Chainlink is trusted by hundreds of organizations—from global enterprises to projects at the forefront of the blockchain economy—to deliver definitive truth via secure, reliable data.  This role is location agnostic anywhere in the world, but we ask that you overlap some working hours with Eastern Standard Time (EST).We are a fully distributed team and have the tools and benefits to support you in your remote work environment.Chainlink Labs is an Equal Opportunity Employer.#LI-RemoteApply for this jobChainlink Labs Home PageJobs powered by ","United States,Remote",,,,,,,,,,,,
Senior Fullstack Engineer,"Scalable infrastructure for Solana & Web3
",https://jobs.ashbyhq.com/syndica/1506e1a0-5d97-49d6-87aa-9ebd553f1918,Getro,,Syndica - Senior Fullstack Engineer,2023-01-20T22:30:22.000Z,2023-01-20T22:30:22.000Z,Yes,Syndica,https://v5.airtableusercontent.com/v1/15/15/1676152800000/FRSkjl74Kw01ZmJcYGqowg/BysXyDivMPmPyV_VCYLmLL0NvUSL_8YFzJ_7TzmXKGZERB98Fg6yhUxx0JcfPo-SjGdG81xKtrVl70O_sVwjrBm3q-7PEsy9pTE7GxLFpF8/xNw8cNP_6L-F2EZpvOhiFIUXa4fLR28yfGIWL0IPtlY,Infrastructure,Scalable infrastructure for Solana & Web3,https://syndica.io/,"['Back-End Dev', 'Front-End Dev']",Jobs,Jobs,False,False,"






Senior Fullstack Engineer @ Syndica









 








      You need to enable JavaScript to run this app.
    






 
 
","Houston, TX, USA",,,,,,,,,,,,
Dev QA Tester,"Nyan Heroes is a F2P Play-And-Earn Battle Royale built on the Solana blockchain.
",https://www.linkedin.com/jobs/view/dev-qa-tester-at-nyan-heroes-3454606117,Getro,,Nyan Heroes - Dev QA Tester,2023-01-30T09:30:26.000Z,2023-01-30T09:30:26.000Z,Yes,Nyan Heroes,https://v5.airtableusercontent.com/v1/15/15/1676152800000/ILhHGXdCoqrjR_1erNde6Q/Y54K32rh9VKMU2joVFLZI-oLtbPbt_ZklXDJRpRAPhokFsQ4D67sfedZIOgcx8jihsmjzJi116XdWftzRkCuXkdFyPXHspOUabYHrFQ8dQo/tZs3vCtaE74bN7NVFC5x9VOD_p_J7WOg1HChZDln8_w,Gaming,Nyan Heroes is a F2P Play-And-Earn Battle Royale built on the Solana blockchain.,https://nyanheroes.com/,"['Back-End Dev', 'Other']",Jobs,Jobs,False,False,"



 















Nyan Heroes hiring Dev QA Tester in EMEA | LinkedIn























 



      Skip to main content
    




LinkedIn







              Quality Assurance Tester in Karachi Division
 
Expand search










                  Jobs
                



                  People
                



                  Learning
                












Dismiss






Dismiss
















 





Dismiss









 





Dismiss















Dismiss















      Join now
    

        Sign in
      





 










Dev QA Tester

Nyan Heroes
EMEA



        Apply
      









Dev QA Tester






                Nyan Heroes
              


              EMEA
            



        

    
    
    
    
    
    
    
    
    
    
    
    
    
    
    
    

    
    
    
    
    
    
    
    
    
    
    
    
    
    

      1 week ago
  
      



            Over 200 applicants
          









            See who Nyan Heroes has hired for this role
          





        Apply
      

            Save
          
 





Save job



 














        Save this job with your existing LinkedIn profile, or create a new one.
      
          

            
        Your job seeking activity is only visible to you.
      
          



          Email
        










            Continue
          




        Welcome back
      

          
          
        Sign in to save Dev QA Tester at Nyan Heroes.
      
        
        
















          Email or phone
        









          Password
        


Show





 

Forgot password?



          Sign in
        





 





 











                      Report this company
                    
    
 






Report



 


          Report




Back
Submit














 

 












Make your positive impact on the future of gamingThe gaming industry is changing at lightning speed. From the growth of free-to-play and battle royale games to the arrival of play-to-earn games and GameFi, the industry is evolving at a rapid pace. Nyan Heroes is at the forefront of this evolution focused on building a AAA battle royale game that is launching its alpha late 2023. To further involve and empower players fairly in every aspect of the game and economy, Nyan Heroes will be leveraging the benefits of the blockchain, while also positioning itself as the benchmark for fair, sustainable game development in this space. We aim to lead the advancement of the GameFi industry technologically, ethically, and inspirationally.About the role:We are seeking to hire a Dev QA Tester, who will evaluate and perform QA testing on new features and content and provide early feedback to the development team, report issues/bugs, help developers with reproducing, identifying, and isolating bugs, and work directly with the development team to bring each feature to life and ensure high-quality experiences for our players.What you’ll be doing:You will help maintain good functionality of the game systems by developing an in-depth understanding of them and their associated requirements.Work closely with the Developers to provide early testing and feedback about features, helping in maintaining a smooth development processPerform testing accurately and thoroughly to detect bugs, software flaws and/or design issuesOwn a project area or areas and ensure that all the checks are properly executedCreate and execute test cases based on design documents/User Story acceptance criteriaReport the test results, provide regular updates and escalate concerns to relevant stakeholdersEnsure the quality of testing deliverablesAbout you:Advanced Level knowledge of QA processesExperience with test case management tools and defect tracking tools (Test rail / JIRA / Confluence). Experience with Azure Devops is a plusExperience with the test cycle of a commercial game project, through pre-alpha, alpha, beta, launch, and maintenanceExperience with multiplayer gamesPassion for video gamesTech-savvinessStrong analytical and problem-detection skillsAbility to provide qualitative feedback for the gameProfessional attitude and a track record of being proactive, self-driven, meticulous, and curious in natureGood verbal and written English communication skillsThe following are considered a plus and highly desirable:Experience with Unreal Engine and Visual StudioAdvanced knowledge of SDLCExperience with playing Battle Royale games and a good understanding of its systems (Apex Legends, Fortnite, CoD, etc.)Blockchain knowledgeFAQs:Location: From anywhere in the world. We are globally remote.Equity/tokens available: YesStart date: ASAPThe StudioWe are a well-funded gaming studio seeking talented,motivated team members to help build an industry-defining title on PC from theground up. We are gamers ourselves and believe in allowing talented people toexpress their own creative freedom. We are looking for many experiencedindustry heroes to help build and craft an AAA-rated game with a uniqueinnovative twist on the standard formula. We currently have more than 60 talented Nyan membersacross the world with two-thirds of our team coming from AAA-rated gamingstudios and titles. In addition to reshaping the future of gaming, we arecommitted to creating the top gaming studio culture founded on kindness and ourlove of cats! Nyan Heroes has already donated $250,000 from its first NFT saletowards our mission of saving 1 billion cats.


        Show more

        


        Show less

        






            Seniority level
          

            Mid-Senior level
          



          Employment type
        

          Full-time
        



            Job function
          

            Quality Assurance
          



            Industries
          

          Computer Games
          
















Referrals increase your chances of interviewing at Nyan Heroes by 2x

              See who you know
            




 



Get notified about new Quality Assurance Tester jobs in EMEA.

          Sign in to create job alert
        




 














          Looking for a job?
        

          Visit the Career Advice Hub to see tips on interviewing and resume writing.
        

          View Career Advice Hub
        












LinkedIn

© 2023



          
          About
        
        



          
          Accessibility
        
        



          
          User Agreement
        
        



          
          Privacy Policy
        
        




          
          Cookie Policy
        
        



          
          Copyright Policy
        
        



          
          Brand Policy
        
        



          
            Guest Controls
          
        



          
          Community Guidelines
        
        









                العربية (Arabic)
            




                Čeština (Czech)
            




                Dansk (Danish)
            




                Deutsch (German)
            




English (English)





                Español (Spanish)
            




                Français (French)
            




                हिंदी (Hindi)
            




                Bahasa Indonesia (Bahasa Indonesia)
            




                Italiano (Italian)
            




                日本語 (Japanese)
            




                한국어 (Korean)
            




                Bahasa Malaysia (Malay)
            




                Nederlands (Dutch)
            




                Norsk (Norwegian)
            




                Polski (Polish)
            




                Português (Portuguese)
            




                Română (Romanian)
            




                Русский (Russian)
            




                Svenska (Swedish)
            




                ภาษาไทย (Thai)
            




                Tagalog (Tagalog)
            




                Türkçe (Turkish)
            




                Українська (Ukrainian)
            




                简体中文 (Chinese (Simplified))
            




                正體中文 (Chinese (Traditional))
            




            Language
          





 
 





Create job alert



 



Get email updates for new Quality Assurance Tester jobs in EMEA




Dismiss












 


          By creating this job alert, you agree to the LinkedIn User Agreement and Privacy Policy. You can unsubscribe from these emails at any time.
        






Sign in to create more





          Create job alert
        






          Your job alert is set
        

          Click the link in the email we sent to  to verify your email address and activate your job alert.
        



          Done
        




        Welcome back
      

          
        Sign in to create your job alert for Quality Assurance Tester jobs in EMEA.
      
        
















          Email or phone
        









          Password
        


Show





 

Forgot password?



          Sign in
        




 





You’re signed out
Sign in for the full experience.

        Sign in
      
 
          Join now
        





































","Europe,Africa,Middle East",,,,,,,,,,,,
Senior Back-End Developer Node.js Web3 (Remote),"Aldrin’s mission is to simplify DeFi and create powerful tools to help all traders succeed, leading to more equality.
",https://apply.workable.com/aldrin/j/3A96253A6F,Getro,Unassigned,Aldrin - Senior Back-End Developer Node.js Web3 (Remote),2023-01-07T07:51:23.000Z,2022-10-21T18:30:22.000Z,Yes,Aldrin,https://v5.airtableusercontent.com/v1/15/15/1676152800000/oHlKAOfNhX_Py6u-xqSJ2w/4tbdR2UI6SWIByOiN8QyliBK3OfFyCkDlDDtNkJFvhAv7XstQL_EpeqXovTG46hsC3sgsN3zqCrkK5xUi7sk7yHAupq805y69hi7FDnvrYU/xWsBlLe_aSU2RhbMlMV3X3tpdiu6w6m9Y0olDZartqw,DeFi,"Aldrin’s mission is to simplify DeFi and create powerful tools to help all traders succeed, leading to more equality.",https://aldrin.com/,"['Back-End Dev', 'Front-End Dev']",Jobs,Jobs,False,False,"{""error"":""rate_limit"",""message"":""Too many requests. Please contact us at support@workable.com to be given access to our jobs XML feed.""}",,,,,,,,,,,,,
Engineering Manager,"Building payments infrastructure for crypto. Our on-and-off-ramp suite of products provides a seamless experience for converting between fiat and crypto.
",https://boards.greenhouse.io/moonpay/jobs/5469886003,Getro,,Moonpay - Engineering Manager,2023-01-10T13:30:23.000Z,2023-01-10T13:30:23.000Z,Yes,Moonpay,https://v5.airtableusercontent.com/v1/15/15/1676152800000/5vEBHFa--I4hZ69-VgH8jA/sTLGCl3vYz9VNPfy8rPNRBWMwk2cEDr2YxVwaoRC3E5XzXqPAqMSUB6bX7DMaab2qEIa-NCdFh0H6_RNDGHMoIyPCTEec78zODka8FB7ssI/YJMkuoCNgAMtnAyntUuUYGhNuCGluL-9-8vlJUwgSfM,Wallets and Payments,Building payments infrastructure for crypto. Our on-and-off-ramp suite of products provides a seamless experience for converting between fiat and crypto.,https://www.moonpay.com/,"['Back-End Dev', 'Front-End Dev']",Jobs,Jobs,False,False,"




Job Application for Senior Engineering Manager  at MoonPay





















      Apply Now
    
Senior Engineering Manager 

    at MoonPay
  
(View all jobs)

      London, United Kingdom
    


MoonPay is a global team imagining and building the products and culture of tomorrow.
We’re driven by our deep belief that blockchain technology will become the status quo, so we commit all our talent to creating the best web3 experiences for everyone, everywhere.
We rely on our open and inclusive culture to foster speed, innovation and responsibility. Our diverse team is an ongoing inspiration for easy, effective and accessible products.
Join our mission to onboard the world into web3 and empower millions to own, create and share value freely.
The discipline ❤️
As an Engineering Manager you’ll primarily support the growth and career development of our Engineers. You will focus on building and developing high performing and inclusive cross functional teams, guiding them through all the challenges that come with being a scaling tech company. Engineering Management is a new discipline at MoonPay so you’ll get a chance to  build frameworks, structures and processes that foster a healthy and efficient engineering org from scratch. You’ll spend roughly 70% of your time focused on people management and the other 30% partnering with Senior Engineers to help drive technical initiatives.
What you'll do 👀 

Manage, support, coach and develop high performing engineers through regular 1:1 and continuous feedback.
Partner with our VP of Engineering and Group Product Manager to ensure we build high-performing teams that consistently and iterate and deliver high-impact and high-quality work.
Lead on the creation, development and implementation of  management best practice and tools e.g progression frameworks. 
Partner with Senior Engineers to drive technical initiatives that raise the bar for our engineering practices.
Leading ongoing engineering work, ensuring timely delivery.

You should apply if  ✅

You have experience managing the performance and development of high-performing Engineers, including seniors and leads, at a high growth, rapidly scaling startups.
You know what good looks like for a high-performing team of Engineers and know how to get there.
You have previously worked as an Engineer at a senior level.
You have an empathetic leadership style and you build strong, effective relationships.
You care deeply about helping others achieve their goals and become the best Engineers they can be.
You are a fantastic communicator and able to work cross-functionally with our engineering team and other areas of the business.
You thrive when developing great people and great products at scale.
You are data driven and know how to work cross functionally with Product and Design.
You have experience from successful delivery of high-quality outcomes.

Research has shown that women are less likely than men to apply for this role if they do not have solid experience in 100% of these areas. Please know that this list is indicative and that we would still love to hear from you even if you feel you only are a 75% match. Skills can be learnt, diversity cannot.
We promote a diverse and inclusive culture at MoonPay.
Logistics 🛠 
Unfortunately, we are unable to offer visas of any kind at this time!
Our interview process takes place on Google Hangouts and tends to consist of the following stages:

Recruiter call (20-30 minutes)
Initial screen (30-45 minutes)
Remote take-home task (role dependent)
Final interview (2 hours)

Please let us know if you require any accommodations for the interview process, and we’ll do our best to provide assistance
Our Company Values 🚀

B - Be Humble
L - Lead with Empathy
O - Own It
C - Communicate Clearly
K - Kaizen

Benefits 💰

Stock options 📈
Unlimited holidays 🏝
Paid parental leave 👶 🍼
Home office setup allowance 🪑
Working in a disruptive and fast-growing industry where the possibilities are endless 🚀
Freedom, autonomy and responsibility 💪









Apply for this Job

* Required
            



First Name *



Last Name *



Email *



Phone












        Resume/CV
      



    Drop files here
  

  
    



Attach
Dropbox
Google Drive
or enter manually
 


    (File types: pdf, doc, docx, txt, rtf)
  

















          Cover Letter
        



    Drop files here
  

  
    



Attach
Dropbox
Google Drive
or enter manually
 


    (File types: pdf, doc, docx, txt, rtf)
  

















LinkedIn Profile
    





LinkedIn Profile
    





Website
    





LinkedIn Profile
    





Website
    





LinkedIn Profile
    





Are you currently based in the USA, UK or Europe? *



--
Yes
No


Do you require a visa or sponsorship to work in EU, USA or UK? *



--
Yes
No


Do you have experience with Web3/Crypto/NFTS? *







What city do you plan to work from? *












 




Powered by 

 
      Read our Privacy Policy





 











","United States,Remote",,,,,,,,,,,,
Tech Lead Web3,"Aldrin’s mission is to simplify DeFi and create powerful tools to help all traders succeed, leading to more equality.
",https://apply.workable.com/aldrin/j/AB1037C055,Getro,Unassigned,Aldrin - Tech Lead Web3,2023-01-07T07:51:23.000Z,2022-10-21T18:30:22.000Z,Yes,Aldrin,https://v5.airtableusercontent.com/v1/15/15/1676152800000/oHlKAOfNhX_Py6u-xqSJ2w/4tbdR2UI6SWIByOiN8QyliBK3OfFyCkDlDDtNkJFvhAv7XstQL_EpeqXovTG46hsC3sgsN3zqCrkK5xUi7sk7yHAupq805y69hi7FDnvrYU/xWsBlLe_aSU2RhbMlMV3X3tpdiu6w6m9Y0olDZartqw,DeFi,"Aldrin’s mission is to simplify DeFi and create powerful tools to help all traders succeed, leading to more equality.",https://aldrin.com/,['Other'],Jobs,Jobs,False,False,"{""error"":""rate_limit"",""message"":""Too many requests. Please contact us at support@workable.com to be given access to our jobs XML feed.""}","London, UK",,,,,,,,,,,,
Head of Product Web3 Gaming,"Aldrin’s mission is to simplify DeFi and create powerful tools to help all traders succeed, leading to more equality.
",https://apply.workable.com/aldrin/j/AE51A889E5,Getro,,Aldrin - Head of Product Web3 Gaming,2023-02-08T18:30:33.000Z,2023-02-08T18:30:33.000Z,Yes,Aldrin,https://v5.airtableusercontent.com/v1/15/15/1676152800000/oHlKAOfNhX_Py6u-xqSJ2w/4tbdR2UI6SWIByOiN8QyliBK3OfFyCkDlDDtNkJFvhAv7XstQL_EpeqXovTG46hsC3sgsN3zqCrkK5xUi7sk7yHAupq805y69hi7FDnvrYU/xWsBlLe_aSU2RhbMlMV3X3tpdiu6w6m9Y0olDZartqw,DeFi,"Aldrin’s mission is to simplify DeFi and create powerful tools to help all traders succeed, leading to more equality.",https://aldrin.com/,['Growth'],Jobs,Jobs,False,False,"{""error"":""rate_limit"",""message"":""Too many requests. Please contact us at support@workable.com to be given access to our jobs XML feed.""}","London, UK",,,,,,,,,,,,
Senior Front-End Developer Web3 (Remote),"Aldrin’s mission is to simplify DeFi and create powerful tools to help all traders succeed, leading to more equality.
",https://apply.workable.com/aldrin/j/E10E4AFA55,Getro,Unassigned,Aldrin - Senior Front-End Developer Web3 (Remote),2023-01-07T07:51:23.000Z,2022-10-21T18:30:22.000Z,Yes,Aldrin,https://v5.airtableusercontent.com/v1/15/15/1676152800000/oHlKAOfNhX_Py6u-xqSJ2w/4tbdR2UI6SWIByOiN8QyliBK3OfFyCkDlDDtNkJFvhAv7XstQL_EpeqXovTG46hsC3sgsN3zqCrkK5xUi7sk7yHAupq805y69hi7FDnvrYU/xWsBlLe_aSU2RhbMlMV3X3tpdiu6w6m9Y0olDZartqw,DeFi,"Aldrin’s mission is to simplify DeFi and create powerful tools to help all traders succeed, leading to more equality.",https://aldrin.com/,['Front-End Dev'],Jobs,Jobs,False,False,"{""error"":""rate_limit"",""message"":""Too many requests. Please contact us at support@workable.com to be given access to our jobs XML feed.""}",Portugal,,,,,,,,,,,,
"Senior Site Reliability Engineer, Engineering Operations","Oracle network for powering trust-minimized applications across Web2 and Web3
",https://jobs.lever.co/chainlink/9d6360bc-61c6-4bcb-88eb-1e24875c3885,Getro,,"Chainlink - Senior Site Reliability Engineer, Engineering Operations",2023-01-27T12:30:31.000Z,2023-01-27T12:30:31.000Z,Yes,Chainlink,https://v5.airtableusercontent.com/v1/15/15/1676152800000/I9rNgYVqQ8h62LkU0VTvvA/RTrtcVJafHBehhFIyNz7E6hEXRIEk9KXW8OKFwqh2awggjBfRB8923LTPXNfD4zSnQO-9kfQxZMV6tz_l-QRrgPNihZZ_2IFQx3LMAvThQE/uLh5GjaaRsMv3b6y44lQndlZaAx9V6I8bFovIhS823U,Infrastructure,Oracle network for powering trust-minimized applications across Web2 and Web3,https://chain.link/,"['Back-End Dev', 'Front-End Dev', 'Other']",Jobs,Jobs,False,False,"Chainlink Labs - Senior Site Reliability Engineer, Engineering OperationsSenior Site Reliability Engineer, Engineering OperationsUnited States / Remote /Engineering /Remote - Full-time/ RemoteApply for this jobThe Engineering Operations team supports product teams by providing specialized expertise required to keep products in a safe and reliable functioning condition while maximizing delivery velocity.Engineering Operations functions as a security, release, and operational layer ensuring optimal balance between feature delivery velocity and product stability.  We focus on minimizing operational risk, improving tempo, and automating manual processes that prevent software delivery from being repeatable and stable. Site Reliability Engineering (SRE) combines software and systems engineering to build and run large-scale, massively distributed, fault-tolerant systems. Much of our software development focuses on building infrastructure and eliminating work through automation.We are distributed across time zones and continents, and we embrace remote work. In the EngOps team, we follow the infrastructure-as-code approach and practice GitOps. Our on-call rotation uses the follow-the-sun pattern.We all have different backgrounds and are determined to help you succeed no matter where you are or who you are. If you think you would do a great job at Chainlink, we are looking forward to speaking with you, even if you don't match 100% of the job requirements: those describe people we've usually had a great time working with, but they're not a tick-box exercise.As a Site Reliability Engineer for the Engineering Operations team you will:Maintain all on-chain and job orchestration configurationsAutomate and reduce complexities around product operationsEvangelize and enact best practices as experts to guide high-quality Site Reliability EngineeringMake tooling user-friendly and accessible to create self-sufficient operational experts across the company and our network of Node OperatorsContinue delivering operational tasks in agreed SLAs to expand scalability and reliabilityDeliver high product velocity while protecting reliability and operabilitySupport production systems by being on-callYour ImpactDeploy and maintain various externally-facing servicesImprove the reliability and observability of Chainlink servicesProvide our engineers with reliable automations and empower them to deploy and maintain Chainlink services in a repeatable and stable mannerSupport monitoring services that watch over the entire Chainlink networkSupport Incident Response by shortening the duration of incidents while keeping an active feedback loop that assures operations and reliability of our systems get better over timeSupport services before they go live through activities such as system design consulting, capacity planning and launch reviewsEngage in and improve the whole lifecycle of services—from inception and design, through to deployment, operation and refinementManage execution of project priorities, deadlines, and deliverablesProvide technical leadership for the local team and work closely with partner team technical leadsSkills and Qualifications Excellent communication skills and a sense of ownership4+ years  of relevant professional experience. You have a software engineering background and/or an operations background and have worked as an SRE or related role beforeExperience architecting, developing, and troubleshooting distributed systemsFluency on design patterns to build performant, resilient and highly available systemsProficient software developer, you not only have the ability to read and write code, but also identify opportunities and implement sound solutions to automate routine tasks and eliminate toilExperience with system architecture. You can create a design document for a performant and highly available application, involving multiple types of storage, cross-region load-balancing,  caching layers and messaging infrastructureExcitement for blockchain and Web 3.0Be willing to go on-call. ​​Reliability is our most important feature, because on-call is an essential component of a reliable system we take it very seriouslyPreferred Qualifications Professional experience with Golang, TypeScript, or bothExperience running blockchain full node operator is a big plusExperience with Chainlink as a developer or a node operator is a big plusComfort working with network protocols, proxies, and load balancersExperience with CI/CD pipelines. You've worked on both software delivery and cloud-based services deploymentExperience with information security and DevSecOpsExperience working remotely in a distributed teamExperience with container orchestrationOur StackSome of the tools and services we use daily or almost daily are:AWS; Terraform/Terragrunt; Kubernetes, Calico and ArgoCD; Prometheus and Grafana; GitHub Actions; PackerWe expect you to be comfortable with most of those tools and very proficient in several of them.#LI-RD1Our PrinciplesAt Chainlink Labs, we’re committed to the key operating principles of ownership, focus, and open dialogue. We practice complete ownership, where everyone goes the extra mile to own outcomes into success. We understand that unflinching focus is a superpower and is how we channel our activity into technological achievements for the benefit of our entire ecosystem. We embrace open dialogue and critical feedback to arrive at an accurate and truthful picture of reality that promotes both personal and organizational growth.About Chainlink LabsChainlink is the industry standard oracle network for connecting smart contracts to the real world. With Chainlink, developers can build hybrid smart contracts that combine on-chain code with an extensive collection of secure off-chain services powered by Decentralized Oracle Networks. Managed by a global, decentralized community of hundreds of thousands of people, Chainlink is introducing a fairer model for contracts. Its network currently secures billions of dollars in value for smart contracts across the decentralized finance (DeFi), insurance, and gaming ecosystems, among others. The full vision of the Chainlink Network can be found in the Chainlink 2.0 whitepaper. Chainlink is trusted by hundreds of organizations—from global enterprises to projects at the forefront of the blockchain economy—to deliver definitive truth via secure, reliable data.  This role is location agnostic anywhere in the world, but we ask that you overlap some working hours with Eastern Standard Time (EST).We are a fully distributed team and have the tools and benefits to support you in your remote work environment.Chainlink Labs is an Equal Opportunity Employer.#LI-RemoteApply for this jobChainlink Labs Home PageJobs powered by ","United States,Remote",,,,,,,,,,,,
